20,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Jordan Thompson
Alex De Minaur",5/2,3/10,2022-03-25 16:16:17.819520
21,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Kamil Majchrzak
Roberto Bautista-Agut",3/1,1/4,2022-03-25 16:16:17.836337
22,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Marin Cilic
Alexei Popyrin",4/9,7/4,2022-03-25 16:16:17.852546
23,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Marton Fucsovics
Carlos Alcaraz",3/1,1/4,2022-03-25 16:16:17.867784
24,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Miomir Kecmanovic
Felix Auger Aliassime",5/2,3/10,2022-03-25 16:16:17.882572
25,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Nikoloz Basilashvili
Jenson Brooksby",12/5,1/3,2022-03-25 16:16:17.900305
26,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Pedro Martinez
Cristian Garin",4/9,7/4,2022-03-25 16:16:17.915741
27,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Stefanos Tsitsipas
Jeffrey John Wolf",1/4,3/1,2022-03-25 16:16:17.931891
28,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Taylor Fritz
Mikhail Kukushkin",2/9,10/3,2022-03-25 16:16:17.947954
29,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Tommy Paul
Karen Khachanov",13/10,8/13,2022-03-25 16:16:17.964873
30,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Yoshihito Nishioka
Daniel Evans",13/8,1/2,2022-03-25 16:16:17.980556
31,WTA Miami - Round 2 Matches,Fri 25 Mar,,"Veronika Kudermetova
Dalma Galfi",,,2022-03-25 16:16:19.737812
32,WTA Miami - Round 2 Matches,Fri 25 Mar,LIVE,"Shelby Rogers
Jelena Ostapenko",1/5,7/2,2022-03-25 16:16:19.759631
33,WTA Miami - Round 2 Matches,Fri 25 Mar,,"Shuai Zhang
Sorana Cirstea",,,2022-03-25 16:16:19.775907
34,WTA Miami - Round 2 Matches,Fri 25 Mar,16:00,"Cori Gauff
Qiang Wang",4/9,7/4,2022-03-25 16:16:19.793017
35,WTA Miami - Round 2 Matches,Fri 25 Mar,16:30,"Elena Gabriela Ruse
Elena Rybakina",11/4,2/7,2022-03-25 16:16:19.809128
36,WTA Miami - Round 2 Matches,Fri 25 Mar,16:30,"Elise Mertens
Linda Fruhvirtova",1/5,7/2,2022-03-25 16:16:19.824455
37,WTA Miami - Round 2 Matches,Fri 25 Mar,16:30,"Jessica Pegula
Sloane Stephens",1/2,13/8,2022-03-25 16:16:19.840134
38,WTA Miami - Round 2 Matches,Fri 25 Mar,16:30,"Storm Sanders
Lauren Davis",6/4,8/15,2022-03-25 16:16:19.855752
39,WTA Miami - Round 2 Matches,Fri 25 Mar,18:00,"Beatriz Haddad Maia
Maria Sakkari",7/2,1/5,2022-03-25 16:16:19.870962
40,WTA Miami - Round 2 Matches,Fri 25 Mar,18:00,"Clara Burel
Petra Kvitova",10/3,2/9,2022-03-25 16:16:19.886698
41,WTA Miami - Round 2 Matches,Fri 25 Mar,18:00,"Ludmilla Samsonova
Madison Brengle",4/6,6/5,2022-03-25 16:16:19.902274
42,WTA Miami - Round 2 Matches,Fri 25 Mar,19:30,"Madison Keys
Anhelina Kalinina",2/7,11/4,2022-03-25 16:16:19.917647
43,WTA Miami - Round 2 Matches,Fri 25 Mar,19:30,"Paula Badosa
Marie Bouzkova",1/3,12/5,2022-03-25 16:16:19.935140
44,WTA Miami - Round 2 Matches,Fri 25 Mar,19:30,"Yulia Putintseva
Marketa Vondrousova",7/4,4/9,2022-03-25 16:16:19.952055
45,WTA Miami - Round 2 Matches,Fri 25 Mar,21:00,"Ekaterina Alexandrova
Victoria Azarenka",5/2,3/10,2022-03-25 16:16:19.967491
46,WTA Miami - Round 2 Matches,Fri 25 Mar,23:00,"Viktorija Golubic
Iga Swiatek",7/1,1/12,2022-03-25 16:16:19.984829
47,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Ann Li
Alison Riske",1/1,4/5,2022-03-25 16:16:20.883575
48,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Belinda Bencic
Heather Watson",3/10,5/2,2022-03-25 16:16:20.903885
49,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Danielle Collins
Vera Zvonareva",1/4,3/1,2022-03-25 16:16:20.927088
50,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Irina-Camelia Begu
Aliaksandra Sasnovich",11/10,8/11,2022-03-25 16:16:20.951203
51,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Kaia Kanepi
Ons Jabeur",7/4,4/9,2022-03-25 16:16:20.973637
52,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Karolina Muchova
Naomi Osaka",5/2,3/10,2022-03-25 16:16:20.992618
53,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Katerina Siniakova
Daria Saville",4/5,1/1,2022-03-25 16:16:21.011907
54,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Lucia Bronzetti
Anna Kalinskaya",7/4,4/9,2022-03-25 16:16:21.029307
55,Challenger Biel - Quarter Final Matches,Fri 25 Mar,17:00,"Leandro Riedi
Jurij Rodionov",1/1,8/11,2022-03-25 16:16:21.260752
56,Challenger Lille - Quarter Final Matches,Fri 25 Mar,LIVE,"Jonas Forejtek
Malek Jaziri",1/1000,100/1,2022-03-25 16:16:21.562931
57,Challenger Lille - Quarter Final Matches,Fri 25 Mar,17:00,"Ricardas Berankis
Alexis Galarneau",3/10,12/5,2022-03-25 16:16:21.579989
58,Challenger Santa Cruz - Quarter Final Matches,Fri 25 Mar,21:00,"Daniel Dutra Da Silva
Marcelo Tomas Barrios Vera",11/4,1/4,2022-03-25 16:16:22.102018
59,Challenger Santa Cruz - Quarter Final Matches,Fri 25 Mar,21:00,"Paul Jubb
Hernan Casanova",4/11,2/1,2022-03-25 16:16:22.117534
60,Challenger Santa Cruz - Quarter Final Matches,Fri 25 Mar,22:30,"Facundo Mena
Juan Pablo Varillas",4/1,1/6,2022-03-25 16:16:22.133133
61,Challenger Santa Cruz - Quarter Final Matches,Fri 25 Mar,23:00,"Genaro Alberto Olivieri
Pablo Cuevas",7/4,2/5,2022-03-25 16:16:22.149038
62,ATP Miami MD - Round 2 Matches,Sat 26 Mar,15:00,"Khachanov/Rublev
Kokkinakis/Kyrgios",6/4,1/2,2022-03-25 16:16:22.361001
63,ATP Miami MD - Round 1 Matches,Fri 25 Mar,16:30,"Ebden/Purcell
De Minaur/Ramos-Vinolas",1/5,10/3,2022-03-25 16:16:23.720338
64,ATP Miami MD - Round 1 Matches,Fri 25 Mar,18:00,"Delbonis/Gonzalez
Murray/Soares",2/1,4/11,2022-03-25 16:16:23.737671
65,ATP Miami MD - Round 1 Matches,Fri 25 Mar,18:00,"Mektic/Pavic
Basilashvili/Djere",1/10,6/1,2022-03-25 16:16:23.755554
66,ATP Miami MD - Round 1 Matches,Fri 25 Mar,19:30,"Bopanna/Shapovalov
Arevalo/Rojer",4/5,10/11,2022-03-25 16:16:23.773513
67,ATP Miami MD - Round 1 Matches,Fri 25 Mar,21:00,"Harris/Middelkoop
Koolhof/Skupski",6/4,1/2,2022-03-25 16:16:23.789472
68,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Behar/Escobar
Martinez/Sonego",4/7,5/4,2022-03-25 16:16:23.807076
69,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Brkic/Cacic
Opelka/Sinner",1/1,8/11,2022-03-25 16:16:23.823157
70,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Gille/Vliegen
Dodig/Melo",1/1,8/11,2022-03-25 16:16:23.843839
71,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Glasspool/Venus
Ram/Salisbury",2/1,4/11,2022-03-25 16:16:23.862715
72,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Klaasen/Mclachlan
Granollers/Zeballos",13/8,4/9,2022-03-25 16:16:23.877175
73,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Mahut/Martin
Krajicek/Roger-Vasselin",8/11,1/1,2022-03-25 16:16:23.893639
74,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Peers/Polasek
Bolelli/Fognini",8/13,6/5,2022-03-25 16:16:23.908890
75,WTA Miami WD - Round 1 Matches,Fri 25 Mar,LIVE,"Fernandez/Neel
Flipkens/Mirza",4/1,1/6,2022-03-25 16:16:25.249365
76,WTA Miami WD - Round 1 Matches,Fri 25 Mar,19:30,"Begu/Niculescu
Rosolska/Routliffe",2/5,7/4,2022-03-25 16:16:25.233672
77,WTA Miami WD - Round 1 Matches,Fri 25 Mar,21:00,"Panova/Rodionova
Siniakova/Sanders",7/1,1/12,2022-03-25 16:16:25.249138
